history_id,car_id,start_date,end_date
632,11,2022-09-17 0:00,2022-09-18 0:00
634,19,2022-09-18 0:00,2022-09-20 0:00
635,24,2022-09-18 0:00,2022-10-28 0:00
637,11,2022-09-19 0:00,2022-09-19 0:00
638,15,2022-09-20 0:00,2022-09-23 0:00
639,25,2022-09-20 0:00,2022-09-21 0:00
640,8,2022-09-21 0:00,2022-09-24 0:00
641,12,2022-09-21 0:00,2022-09-23 0:00
642,19,2022-09-21 0:00,2022-09-23 0:00
645,10,2022-09-22 0:00,2022-09-23 0:00
646,23,2022-09-22 0:00,2022-09-24 0:00
648,5,2022-09-23 0:00,2022-11-02 0:00
649,7,2022-09-23 0:00,2022-10-06 0:00
650,13,2022-09-23 0:00,2022-09-24 0:00
653,6,2022-09-24 0:00,2022-10-24 0:00
654,12,2022-09-24 0:00,2022-09-25 0:00
656,10,2022-09-25 0:00,2022-09-25 0:00
657,11,2022-09-25 0:00,2023-01-03 0:00
658,21,2022-09-25 0:00,2022-09-26 0:00
659,25,2022-09-25 0:00,2022-09-27 0:00
660,27,2022-09-25 0:00,2022-12-24 0:00
663,15,2022-09-26 0:00,2022-09-26 0:00
664,19,2022-09-26 0:00,2022-10-03 0:00
665,23,2022-09-26 0:00,2022-10-06 0:00
667,10,2022-09-28 0:00,2022-10-12 0:00
668,13,2022-09-28 0:00,2022-09-28 0:00
669,25,2022-09-29 0:00,2022-10-28 0:00
671,15,2022-10-01 0:00,2022-10-14 0:00
672,21,2022-10-01 0:00,2022-10-01 0:00
673,8,2022-10-02 0:00,2022-10-04 0:00
674,17,2022-10-02 0:00,2022-11-06 0:00
675,9,2022-10-03 0:00,2023-01-04 0:00
676,12,2022-10-03 0:00,2022-10-06 0:00
678,19,2022-10-05 0:00,2022-11-14 0:00
679,13,2022-10-06 0:00,2022-10-06 0:00
680,8,2022-10-07 0:00,2022-10-21 0:00
681,12,2022-10-07 0:00,2022-11-16 0:00
682,21,2022-10-07 0:00,2022-10-09 0:00
685,2,2022-10-10 0:00,2023-01-11 0:00
687,7,2022-10-14 0:00,2022-11-23 0:00
688,13,2022-10-14 0:00,2022-10-15 0:00
689,23,2022-10-14 0:00,2022-10-27 0:00
691,21,2022-10-17 0:00,2022-10-17 0:00
692,10,2022-10-18 0:00,2022-10-18 0:00
694,18,2022-10-19 0:00,2022-10-19 0:00
695,21,2022-10-19 0:00,2022-10-26 0:00
697,10,2022-10-20 0:00,2022-10-23 0:00
699,3,2022-10-21 0:00,2022-10-24 0:00
700,18,2022-10-21 0:00,2022-10-22 0:00
701,20,2022-10-21 0:00,2022-10-23 0:00
702,15,2022-10-22 0:00,2022-11-06 0:00
704,4,2022-10-23 0:00,2022-10-26 0:00
705,8,2022-10-23 0:00,2022-10-23 0:00
706,13,2022-10-23 0:00,2022-10-26 0:00
707,10,2022-10-24 0:00,2023-01-25 0:00
710,6,2022-10-25 0:00,2022-10-28 0:00
711,8,2022-10-25 0:00,2022-10-25 0:00
712,18,2022-10-25 0:00,2023-01-26 0:00
713,3,2022-10-27 0:00,2022-10-28 0:00
714,8,2022-10-27 0:00,2022-11-06 0:00
715,13,2022-10-27 0:00,2022-10-27 0:00
716,30,2022-10-27 0:00,2022-10-27 0:00
718,13,2022-10-28 0:00,2022-10-30 0:00
720,6,2022-10-30 0:00,2022-11-02 0:00
721,21,2022-10-30 0:00,2022-11-02 0:00
722,1,2022-10-31 0:00,2022-11-30 0:00
723,4,2022-10-31 0:00,2022-11-01 0:00
724,20,2022-10-31 0:00,2022-12-10 0:00
